,AirportCode,Records
0,LEX,1
1,SNN,1
2,HAM,1
3,CAK,1
4,FTF,1
5,ANP,1
6,SAS,1
7,GRP,1
8,EDA,1
9,PAS,1
10,YGF,1
11,ABQ,1
12,ABE,1
13,LSE,1
14,NC8,1
15,GUL,1
16,PNH,1
17,IWA,1
18,FBA,1
19,DOV,1
20,MGM,1
21,DAB,1
22,LEE,1
23,PIN,2
24,AFW,2
25,NWH,2
26,HEF,2
27,WLL,2
28,FRB,2
29,LUB,2
30,5KE,2
31,KET,2
32,BLI,2
33,LON,2
34,OMA,2
35,ANT,2
36,FRI,2
37,HLG,2
38,DSM,2
39,SUS,2
40,PSE,3
41,ERI,3
42,NIG,3
43,MAI,3
44,ALB,3
45,DVL,3
46,BTN,3
47,BAU,3
48,FAR,4
49,BWM,4
50,JFA,4
51,AGU,4
52,MWH,4
53,FAB,4
54,VCB,4
55,SWF,4
56,FOK,5
57,NAS,5
58,CRY,5
59,ERC,5
60,FTK,6
61,NOR,7
62,MON,7
63,CRP,7
64,SHR,7
65,MOR,8
66,PTK,8
67,SPC,8
68,ABS,8
69,OTT,8
70,RFD,8
71,PRO,8
72,LIM,8
73,MND,8
74,NOO,9
75,BEE,9
76,BHX,9
77,NEC,9
78,DUB,9
79,BRG,9
80,BEB,9
81,AGN,11
82,SJO,11
83,HVR,12
84,AUH,12
85,MRC,12
86,TUR,12
87,NYL,12
88,RIO,12
89,FER,12
90,TRO,13
91,X44,13
92,FTC,13
93,WHO,13
94,SPO,13
95,ABG,14
96,APF,14
97,CHL,14
98,MAD,14
99,MDT,14
100,FAL,15
101,MOB,15
102,CHS,15
103,PSM,15
104,REN,16
105,GAC,16
106,BWA,17
107,WIN,17
108,ICT,17
109,SGR,18
110,FAJ,18
111,SGJ,18
112,MEM,18
113,NRN,19
114,WIL,19
115,MMU,19
116,CLG,20
117,WAR,20
118,ADT,20
119,5T6,20
120,DLB,22
121,ROS,22
122,MOO,22
123,CRQ,22
124,LAN,22
125,HNS,23
126,FRT,24
127,NRG,24
128,PCF,24
129,FPT,25
130,NAC,25
131,VNY,26
132,CHT,27
133,TST,27
134,FPR,27
135,RST,28
136,W55,28
137,LAU,29
138,PAR,30
139,DNS,32
140,WAL,32
141,BZN,33
142,PTL,34
143,MLB,34
144,GAL,34
145,CHA,34
146,SAV,35
147,BED,36
148,LIH,36
149,ADS,36
150,RIF,38
151,RAY,40
152,BQN,44
153,AXB,47
154,COB,49
155,ALC,49
156,BDL,49
157,CNA,51
158,MET,51
159,ROM,54
160,SAA,55
161,COL,55
162,INT,57
163,SKA,58
164,SYR,58
165,DNA,59
166,SRQ,61
167,JAC,67
168,ROU,68
169,ROC,68
170,PRE,70
171,JMZ,72
172,MAF,77
173,DAC,77
174,DLR,83
175,WBE,84
176,STL,84
177,SLU,86
178,HAR,87
179,EGP,91
180,ANC,96
181,PGR,97
182,NRT,98
183,JKM,99
184,DOU,102
185,GPM,104
186,KAN,111
187,LOI,117
188,MAS,118
189,FWA,118
190,VIB,119
191,INP,120
192,NSV,121
193,HPN,122
194,MIL,123
195,PSP,140
196,ORO,144
197,PIE,150
198,POR,161
199,SSM,165
200,BGM,182
201,PIR,190
202,CLM,208
203,STR,212
204,AND,216
205,KOA,221
206,OGD,235
207,ADW,239
208,EPI,243
209,PVD,267
210,CHR,277
211,CLS,279
212,TOR,288
213,LUK,289
214,PIT,294
215,ROO,304
216,TEC,318
217,SHA,320
218,OGG,341
219,LCB,345
220,MAA,346
221,HTM,351
222,PHR,438
223,PDN,448
224,CLE,483
225,ELP,526
226,RNO,561
227,SWE,561
228,HID,602
229,BOA,666
230,YSL,671
231,KEY,699
232,NOG,733
233,LAR,857
234,MCA,942
235,VCV,945
236,NOL,959
237,BUF,963
238,CAL,1014
239,PEM,1026
240,VIC,1037
241,DER,1073
242,BRO,1095
243,ANZ,1109
244,TUC,1170
245,LYN,1218
246,SUM,1224
247,LNB,1252
248,THO,1329
249,LLB,1356
250,PEV,1366
251,CIN,1422
252,OPF,1499
253,RDU,1719
254,ONT,1831
255,STT,2616
256,X96,2852
257,PHU,2904
258,SAC,3034
259,HIG,3091
260,FMY,3121
261,AUS,3312
262,BAL,3321
263,XXX,3651
264,WPB,3823
265,SLC,3826
266,LEW,4153
267,OAK,4660
268,POO,4933
269,OTM,5171
270,SFB,5598
271,SNJ,5808
272,CHM,6647
273,PBB,6803
274,NCA,6850
275,SYS,7528
276,SPM,9402
277,NIA,10779
278,SDP,10834
279,SNA,11233
280,TAM,12246
281,PHO,12382
282,CLT,15539
283,SAJ,15783
284,DEN,17849
285,BLA,18570
286,PHI,30023
287,SAI,34146
288,DET,37324
289,SEA,41484
290,LVG,59801
291,BOS,65151
292,DAL,78253
293,FTL,78843
294,WAS,81803
295,ATL,100293
296,HOU,111234
297,AGA,120905
298,CHI,122468
299,ORL,128715
300,NEW,148421
301,SFR,163538
302,HHW,174274
303,LOS,341970
304,MIA,441151
305,NYC,524135
