,Country,Records,CountryMatch
0,COCOS ISLANDS,1,Cocos Islands
1,SAO TOME AND PRINCIPE,1,Sao Tome And Principe
2,WESTERN SAHARA,1,Western Sahara
3,INVALID: AMERICAN SAMOA,1,Invalid: American Samoa
4,ANGUILLA,1,Anguilla
5,NIUE,1,Niue
6,INVALID: STATELESS,1,Invalid: Stateless
7,ST. PIERRE AND MIQUELON,1,St. Pierre And Miquelon
8,YUGOSLAVIA,1,Yugoslavia
9,INVALID: USSR,1,Invalid: Ussr
10,PITCAIRN ISLANDS,1,Pitcairn Islands
11,FAROE ISLANDS (PART OF DENMARK)  ,1,Faroe Islands (Part Of Denmark)  
12,ST. HELENA,1,St. Helena
13,INVALID: PUERTO RICO,2,Invalid: Puerto Rico
14,MONTSERRAT,2,Montserrat
15,HOLY SEE/VATICAN,2,Holy See/Vatican
16,CHRISTMAS ISLAND,2,Christmas Island
17,GIBRALTAR,3,Gibraltar
18,ARUBA,3,Aruba
19,NORTH KOREA,3,North Korea
20,FRENCH POLYNESIA,3,French Polynesia
21,WESTERN SAMOA,4,Western Samoa
22,CURACAO ,4,Curacao 
23,GUADELOUPE,5,Guadeloupe
24,MARSHALL ISLANDS,5,Marshall Islands
25,MARTINIQUE,5,Martinique
26,NETHERLANDS ANTILLES,5,Netherlands Antilles
27,VANUATU,7,Vanuatu
28,COMOROS,10,Comoros
29,GUINEA-BISSAU,11,Guinea-Bissau
30,MICRONESIA,13,Micronesia
31,SOLOMON ISLANDS,13,Solomon Islands
32,INVALID: GUAM,13,Invalid: Guam
33,LITHUANIA,14,Lithuania
34,REPUBLIC OF SOUTH SUDAN,16,Republic Of South Sudan
35,LESOTHO,19,Lesotho
36,CENTRAL AFRICAN REPUBLIC,19,Central African Republic
37,SOMALIA,23,Somalia
38,SEYCHELLES,23,Seychelles
39,MALDIVES,29,Maldives
40,KIRIBATI,29,Kiribati
41,TURKEY,34,Turkey
42,SWAZILAND,38,Swaziland
43,DJIBOUTI,44,Djibouti
44,MADAGASCAR,47,Madagascar
45,LAOS,55,Laos
46,BHUTAN,56,Bhutan
47,CHAD,56,Chad
48,SAN MARINO,57,San Marino
49,PAPUA NEW GUINEA,62,Papua New Guinea
50,CONGO,67,Congo
51,EQUATORIAL GUINEA,69,Equatorial Guinea
52,MONACO,69,Monaco
53,BURUNDI,76,Burundi
54,NAMIBIA,82,Namibia
55,GAMBIA,92,Gambia
56,NIGER,101,Niger
57,BRUNEI,103,Brunei
58,ANDORRA,104,Andorra
59,LIBYA,109,Libya
60,MACAU,113,Macau
61,TAJIKISTAN,114,Tajikistan
62,MAURITANIA,122,Mauritania
63,MOZAMBIQUE,122,Mozambique
64,MALAWI,132,Malawi
65,BENIN,135,Benin
66,GABON,137,Gabon
67,SIERRA LEONE,140,Sierra Leone
68,BOTSWANA,144,Botswana
69,TOGO,151,Togo
70,INVALID: UNITED STATES,151,Invalid: United States
71,LIECHTENSTEIN,155,Liechtenstein
72,TURKS AND CAICOS ISLANDS,176,Turks And Caicos Islands
73,GUINEA,179,Guinea
74,AFGHANISTAN,186,Afghanistan
75,RWANDA,210,Rwanda
76,MAURITIUS,218,Mauritius
77,KAMPUCHEA,222,Kampuchea
78,ERITREA,229,Eritrea
79,KYRGYZSTAN,251,Kyrgyzstan
80,ZAMBIA,254,Zambia
81,MALI,277,Mali
82,LIBERIA,291,Liberia
83,CAPE VERDE,301,Cape Verde
84,Collapsed Tanzania (should not show),350,Collapsed Tanzania (Should Not Show)
85,MONTENEGRO ,402,Montenegro 
86,KOSOVO ,409,Kosovo 
87,DOMINICA,422,Dominica
88,SUDAN,438,Sudan
89,TONGA,447,Tonga
90,IVORY COAST,452,Ivory Coast
91,ZAIRE,469,Zaire
92,OMAN,475,Oman
93,ANGOLA,477,Angola
94,UGANDA,479,Uganda
95,BOSNIA-HERZEGOVINA,496,Bosnia-Herzegovina
96,RUSSIA,527,Russia
97,CAYMAN ISLANDS,532,Cayman Islands
98,MACEDONIA,534,Macedonia
99,MALTA,539,Malta
100,SENEGAL,539,Senegal
101,ZIMBABWE,545,Zimbabwe
102,ARMENIA,558,Armenia
103,BAHRAIN,560,Bahrain
104,ST. VINCENT-GRENADINES,582,St. Vincent-Grenadines
105,AZERBAIJAN,588,Azerbaijan
106,FIJI,588,Fiji
107,GEORGIA,588,Georgia
108,GRENADA,592,Grenada
109,PALESTINE ,662,Palestine 
110,CYPRUS,672,Cyprus
